"lga_id","state","lga","unique_lga","pop_2006","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga_2013","longitude","latitude"
160,"Nasarawa","Doma","nasarawa_doma",139607,"North-Central",2714.059155,"Others",51.4384514216677,"nasarawa_doma",8.28458656739096,8.16254983678815
161,"Taraba","Donga","taraba_donga",134111,"Northeast",3118.949104,"Others",42.9987779627455,"taraba_donga",10.2499848158418,7.6387644640989
162,"Gombe","Dukku","gombe_dukku",207190,"Northeast",3812.178384,"113",54.3495028641871,"gombe_dukku",10.8297531892684,10.7865708939911
163,"Anambra","Dunukofia","anambra_dunukofia",96382,"Southeast",65.57204442,"148",1469.8641906398,"anambra_dunukofia",6.96454301842111,6.23321400878541
164,"Jigawa","Dutse","jigawa_dutse",246143,"Northwest",1098.712016,"Others",224.028677592983,"jigawa_dutse",9.31743210997279,11.8017901079635
165,"Katsina","Dutsi","katsina_dutsi",120023,"Northwest",282.9339234,"Others",424.208587495238,"katsina_dutsi",8.14301985568486,12.91002767823
166,"Katsina","Dutsin-Ma","katsina_dutsin_ma",169671,"Northwest",526.7439147,"Others",322.112881164719,"katsina_dutsin_ma",7.51526639491477,12.4472104243435
167,"Akwa Ibom","Eastern-Obolo","akwa_ibom_eastern_obolo",60543,"South-South",120.4946734,"Others",502.453745810145,"akwa_ibom_eastern_obolo",7.69498194317588,4.51810856114751
168,"Ebonyi","Ebonyi","ebonyi_ebonyi",126837,"Southeast",443.482387,"Others",286.00233902863,"ebonyi_ebonyi",8.11852464540113,6.50463025400398
169,"Niger","Edati","niger_edati",160321,"North-Central",1752.921383,"148",91.4593213105895,"niger_edati",5.84408195888069,8.97507231355451
170,"Osun","Ede North","osun_ede_north",83831,"Southwest",110.9533927,"Others",755.551479409606,"osun_ede_north",4.47741691814542,7.72997375891911
171,"Osun","Ede South","osun_ede_south",76035,"Southwest",218.8913946,"113",347.364043885533,"osun_ede_south",4.45820391596864,7.65945134109971
172,"Kwara","Edu","kwara_edu",201469,"North-Central",2543.735125,"Others",79.2020356286113,"kwara_edu",5.18832823172796,8.89671999889429
173,"Osun","Ife-Central","osun_ife_central",167254,"Southwest",111.0257948,"Others",1506.4427172198,"osun_ife_central",4.53386945937916,7.54498199719273
174,"Osun","Ife-East","osun_ife_east",188087,"Southwest",172.0418304,"Others",1093.26318816008,"osun_ife_east",4.60186232377942,7.42610487922102
175,"Osun","Ife-North","osun_ife_north",153694,"Southwest",890.436192,"Others",172.605293204434,"osun_ife_north",4.45754612313911,7.268164040163
176,"Osun","Ife-South","osun_ife_south",135338,"Southwest",730.6872159,"148",185.220155840967,"osun_ife_south",4.59538838362179,7.22621043065994
177,"Ekiti","Efon","ekiti_efon",86941,"Southwest",232.2607155,"148",374.325033025225,"ekiti_efon",4.93494717141868,7.69140833824557
178,"Ogun","Yewa North","ogun_yewa_north",181826,"Southwest",2089.817587,"113",87.0056798885577,"ogun_egbado_north",2.90393648114406,7.12568911040829
179,"Ogun","Yewa South","ogun_yewa_south",168850,"Southwest",629.4931107,"Others",268.231688528311,"ogun_egbado_south",2.95782285370494,6.79076231153939
